evaluationID,obtainedMarks,assessment_id,registration_id
164,27,21,15
165,3,22,15
166,9,12,16
167,10,13,16
168,13,14,16
169,16,15,16
170,3,16,16
171,13,17,16
172,14,18,16
173,0,19,16
174,9,20,16
175,0,21,16
176,19,22,16
177,3,1,17
178,3,2,17
179,14,3,17
180,16,4,17
181,27,5,17
182,13,6,17
183,18,7,17
184,2,8,17
185,6,9,17
186,38,10,17
187,20,11,17
188,15,23,18
189,13,24,18
190,23,25,18
191,18,26,18
192,8,27,18
193,14,28,18
194,16,29,18
195,10,30,18
196,3,31,18
197,18,32,18
198,11,33,18
199,1,1,19
200,7,2,19
201,15,3,19
202,5,4,19
203,3,5,19
204,4,6,19
205,4,7,19
206,10,8,19
207,4,9,19
208,4,10,19
209,22,11,19
210,4,12,20
211,10,13,20
212,9,14,20
213,5,15,20
214,10,16,20
215,14,17,20
216,11,18,20
217,6,19,20
218,15,20,20
219,29,21,20
220,17,22,20
221,6,23,21
222,18,24,21
223,9,25,21
224,14,26,21
225,29,27,21
226,11,28,21
227,10,29,21
228,2,30,21
229,2,31,21
230,39,32,21
231,8,33,21
232,9,1,22
233,18,2,22
234,4,3,22
235,9,4,22
236,19,5,22
237,14,6,22
238,11,7,22
239,12,8,22
240,7,9,22
241,23,10,22
242,17,11,22
243,0,1,23
244,20,2,23
245,26,3,23
246,8,4,23
247,19,5,23
248,7,6,23
249,2,7,23
250,10,8,23
251,12,9,23
252,24,10,23
253,9,11,23
254,16,1,24
255,16,2,24
256,1,3,24
257,2,4,24
258,5,5,24
259,8,6,24
260,14,7,24
261,9,8,24
262,8,9,24
263,2,10,24
264,22,11,24
265,6,1,25
266,21,2,25
267,23,3,25
268,4,4,25
269,13,5,25
270,11,6,25
271,10,7,25
272,15,8,25
273,3,9,25
274,8,10,25
275,22,11,25
276,6,23,26
277,16,24,26
278,20,25,26
279,5,26,26
280,16,27,26
281,19,28,26
282,19,29,26
283,4,30,26
284,12,31,26
285,23,32,26
286,23,33,26
287,22,23,27
288,10,24,27
289,30,25,27
290,12,26,27
291,18,27,27
292,0,28,27
293,0,29,27
294,10,30,27
295,7,31,27
296,32,32,27
297,14,33,27
298,0,12,28
299,18,13,28
300,2,14,28
301,7,15,28
302,17,16,28
303,8,17,28
304,8,18,28
305,2,19,28
306,11,20,28
307,33,21,28
308,10,22,28
309,3,23,29
310,0,24,29
311,10,25,29
312,14,26,29
313,18,27,29
314,19,28,29
315,12,29,29
316,7,30,29
317,6,31,29
318,37,32,29
319,23,33,29
320,24,1,30
321,5,2,30
322,26,3,30
323,5,4,30
324,14,5,30
325,11,6,30
326,5,7,30
327,15,8,30
328,15,9,30
329,1,10,30
330,27,11,30
331,10,1,31
332,1,2,31
333,25,3,31
334,3,4,31
335,20,5,31
336,4,6,31
337,5,7,31
338,7,8,31
339,0,9,31
340,16,10,31
341,3,11,31
342,5,23,32
343,0,24,32
344,13,25,32
345,13,26,32
346,8,27,32
347,5,28,32
348,4,29,32
349,11,30,32
350,2,31,32
351,50,32,32
352,7,33,32
353,13,12,33
354,16,13,33
355,13,14,33
356,4,15,33
357,25,16,33
358,20,17,33
359,16,18,33
360,8,19,33
361,8,20,33
362,21,21,33
363,16,22,33
364,12,23,34
365,23,24,34
366,9,25,34
367,7,26,34
368,0,27,34
369,1,28,34
370,0,29,34
371,0,30,34
372,1,31,34
373,8,32,34
374,6,33,34
375,17,1,35
376,18,2,35
377,10,3,35
378,1,4,35
379,12,5,35
380,2,6,35
381,15,7,35
382,6,8,35
383,5,9,35
384,25,10,35
385,5,11,35
386,8,1,36
387,13,2,36
388,24,3,36
389,14,4,36
390,8,5,36
391,15,6,36
392,8,7,36
393,9,8,36
394,6,9,36
395,25,10,36
396,28,11,36
397,20,12,37
398,20,13,37
399,25,14,37
400,15,15,37
401,16,16,37
402,0,17,37
403,1,18,37
404,13,19,37
405,2,20,37
406,19,21,37
407,11,22,37
408,11,12,38
409,23,13,38
410,9,14,38
411,8,15,38
412,18,16,38
413,3,17,38
414,19,18,38
415,1,19,38
416,7,20,38
417,40,21,38
418,13,22,38
419,13,12,39
420,2,13,39
421,16,14,39
422,13,15,39
423,23,16,39
424,18,17,39
425,1,18,39
426,15,19,39
427,3,20,39
428,26,21,39
429,0,22,39
430,14,1,40
431,19,2,40
432,23,3,40
433,19,4,40
434,25,5,40
435,6,6,40
436,4,7,40
437,9,8,40
438,4,9,40
439,0,10,40
440,26,11,40
441,25,12,41
442,18,13,41
443,20,14,41
444,10,15,41
445,22,16,41
446,7,17,41
447,18,18,41
448,10,19,41
449,7,20,41
450,46,21,41
451,18,22,41
452,11,12,42
453,3,13,42
454,12,14,42
455,19,15,42
456,6,16,42
457,7,17,42
458,19,18,42
459,10,19,42
460,9,20,42
461,16,21,42
462,16,22,42
463,1,12,43
464,23,13,43
465,6,14,43
466,4,15,43
467,15,16,43
468,9,17,43
469,10,18,43
470,11,19,43
471,2,20,43
472,34,21,43
473,16,22,43
474,23,12,44
475,17,13,44
476,14,14,44
477,20,15,44
478,3,16,44
479,6,17,44
480,11,18,44
481,0,19,44
482,14,20,44
483,9,21,44
484,22,22,44
485,1,12,45
486,21,13,45
487,29,14,45
488,16,15,45
489,29,16,45
490,7,17,45
491,12,18,45
492,15,19,45
493,2,20,45
494,37,21,45
495,23,22,45
496,25,1,46
497,6,2,46
498,9,3,46
499,18,4,46
500,30,5,46
501,7,6,46
502,16,7,46
503,15,8,46
504,6,9,46
505,2,10,46
506,10,11,46
507,10,12,47
508,18,13,47
509,7,14,47
510,1,15,47
511,25,16,47
512,18,17,47
513,9,18,47
514,13,19,47
515,6,20,47
516,20,21,47
517,9,22,47
518,4,1,48
519,25,2,48
520,8,3,48
521,6,4,48
522,3,5,48
523,3,6,48
524,13,7,48
525,2,8,48
526,14,9,48
527,29,10,48
528,9,11,48
529,7,23,49
530,24,24,49
531,16,25,49
532,18,26,49
533,16,27,49
534,6,28,49
535,13,29,49
536,14,30,49
537,8,31,49
538,33,32,49
539,24,33,49
540,2,12,50
541,25,13,50
542,15,14,50
543,11,15,50
544,1,16,50
545,18,17,50
546,17,18,50
547,11,19,50
548,9,20,50
549,40,21,50
550,23,22,50
551,9,23,51
552,18,24,51
553,11,25,51
554,8,26,51
555,5,27,51
556,1,28,51
557,14,29,51
558,13,30,51
559,13,31,51
560,41,32,51
561,29,33,51
562,19,23,52
563,6,24,52
564,13,25,52
565,8,26,52
566,12,27,52
567,11,28,52
568,7,29,52
569,1,30,52
570,10,31,52
571,0,32,52
572,17,33,52
573,1,23,53
574,23,24,53
575,28,25,53
576,14,26,53
577,30,27,53
578,5,28,53
579,14,29,53
580,0,30,53
581,9,31,53
582,16,32,53
583,17,33,53
584,18,1,54
585,12,2,54
586,18,3,54
587,15,4,54
588,10,5,54
589,5,6,54
590,9,7,54
591,3,8,54
592,11,9,54
593,5,10,54
594,6,11,54
595,7,1,55
596,1,2,55
597,22,3,55
598,7,4,55
599,16,5,55
600,0,6,55
601,18,7,55
602,3,8,55
603,15,9,55
604,48,10,55
605,19,11,55
606,4,12,56
607,22,13,56
608,20,14,56
609,17,15,56
610,26,16,56
611,7,17,56
612,7,18,56
613,8,19,56
614,7,20,56
615,24,21,56
616,27,22,56
617,20,23,57
618,17,24,57
619,13,25,57
620,7,26,57
621,4,27,57
622,13,28,57
623,17,29,57
624,3,30,57
625,12,31,57
626,26,32,57
627,9,33,57
628,5,1,58
629,2,2,58
630,27,3,58
631,4,4,58
632,23,5,58
633,17,6,58
634,18,7,58
635,14,8,58
636,2,9,58
637,9,10,58
638,10,11,58
639,20,23,59
640,12,24,59
641,19,25,59
642,13,26,59
643,2,27,59
644,5,28,59
645,5,29,59
646,6,30,59
647,14,31,59
648,34,32,59
649,8,33,59
650,8,1,60
651,8,2,60
652,1,3,60
653,14,4,60
654,22,5,60
655,9,6,60
656,13,7,60
657,13,8,60
658,4,9,60
659,41,10,60
660,21,11,60
661,7,12,61
662,13,13,61
663,17,14,61
664,3,15,61
665,22,16,61
666,12,17,61
667,16,18,61
668,3,19,61
669,8,20,61
670,30,21,61
671,1,22,61
672,25,23,62
673,19,24,62
674,18,25,62
675,0,26,62
676,3,27,62
677,6,28,62
678,4,29,62
679,2,30,62
680,3,31,62
681,3,32,62
682,6,33,62
683,21,12,63
684,4,13,63
685,8,14,63
686,0,15,63
687,26,16,63
688,19,17,63
689,20,18,63
690,6,19,63
691,7,20,63
692,17,21,63
693,14,22,63
694,3,23,64
695,5,24,64
696,0,25,64
697,16,26,64
698,30,27,64
699,5,28,64
700,1,29,64
701,4,30,64
702,9,31,64
703,7,32,64
704,1,33,64
705,10,23,65
706,18,24,65
707,20,25,65
708,2,26,65
709,2,27,65
710,17,28,65
711,1,29,65
712,6,30,65
713,12,31,65
714,38,32,65
715,19,33,65
716,1,23,66
717,5,24,66
718,17,25,66
719,8,26,66
720,27,27,66
721,10,28,66
722,0,29,66
723,11,30,66
724,9,31,66
725,15,32,66
726,23,33,66
727,25,1,67
728,19,2,67
729,23,3,67
730,6,4,67
731,28,5,67
732,10,6,67
733,7,7,67
734,2,8,67
735,10,9,67
736,44,10,67
737,6,11,67
738,0,12,68
739,15,13,68
740,18,14,68
741,15,15,68
742,17,16,68
743,9,17,68
744,6,18,68
745,2,19,68
746,14,20,68
747,43,21,68
748,23,22,68
749,18,1,69
750,4,2,69
751,25,3,69
752,14,4,69
753,29,5,69
754,8,6,69
755,6,7,69
756,8,8,69
757,13,9,69
758,23,10,69
759,30,11,69
760,21,12,70
761,6,13,70
762,13,14,70
763,17,15,70
764,1,16,70
765,16,17,70
766,19,18,70
767,6,19,70
768,1,20,70
769,2,21,70
770,10,22,70
771,25,12,71
772,0,13,71
773,26,14,71
774,9,15,71
775,8,16,71
776,0,17,71
777,16,18,71
778,11,19,71
779,4,20,71
780,0,21,71
781,26,22,71
782,6,23,72
783,20,24,72
784,2,25,72
785,1,26,72
786,10,27,72
787,13,28,72
788,13,29,72
789,7,30,72
790,7,31,72
791,27,32,72
792,8,33,72
793,19,1,73
794,13,2,73
795,14,3,73
796,7,4,73
797,1,5,73
798,0,6,73
799,11,7,73
800,6,8,73
801,14,9,73
802,35,10,73
803,23,11,73
804,1,23,74
805,24,24,74
806,23,25,74
807,20,26,74
808,21,27,74
809,3,28,74
810,16,29,74
811,10,30,74
812,10,31,74
813,18,32,74
814,1,33,74
815,1,23,75
816,3,24,75
817,12,25,75
818,8,26,75
819,18,27,75
820,2,28,75
821,4,29,75
822,1,30,75
823,15,31,75
824,33,32,75
825,27,33,75
826,20,12,76
827,7,13,76
828,5,14,76
829,11,15,76
830,3,16,76
831,3,17,76
832,16,18,76
833,14,19,76
834,8,20,76
835,24,21,76
836,0,22,76
837,2,23,77
838,20,24,77
839,18,25,77
840,6,26,77
841,22,27,77
842,4,28,77
843,15,29,77
844,10,30,77
845,3,31,77
846,27,32,77
847,21,33,77
848,14,1,78
849,16,2,78
850,4,3,78
851,6,4,78
852,15,5,78
853,16,6,78
854,9,7,78
855,3,8,78
856,0,9,78
857,45,10,78
858,13,11,78
859,16,23,79
860,13,24,79
861,13,25,79
862,15,26,79
863,24,27,79
864,4,28,79
865,18,29,79
866,3,30,79
867,8,31,79
868,7,32,79
869,21,33,79
870,10,12,80
871,9,13,80
872,10,14,80
873,19,15,80
874,5,16,80
875,17,17,80
876,1,18,80
877,13,19,80
878,10,20,80
879,22,21,80
880,0,22,80
881,17,23,81
882,17,24,81
883,24,25,81
884,19,26,81
885,26,27,81
886,7,28,81
887,11,29,81
888,5,30,81
889,1,31,81
890,47,32,81
891,29,33,81
892,21,23,82
893,8,24,82
894,3,25,82
895,3,26,82
896,21,27,82
897,14,28,82
898,2,29,82
899,13,30,82
900,7,31,82
901,9,32,82
902,5,33,82
903,18,12,83
904,6,13,83
905,13,14,83
906,7,15,83
907,15,16,83
908,17,17,83
909,0,18,83
910,8,19,83
911,6,20,83
912,21,21,83
913,0,22,83
914,14,1,84
915,13,2,84
916,14,3,84
917,2,4,84
918,26,5,84
919,3,6,84
920,12,7,84
921,10,8,84
922,2,9,84
923,20,10,84
924,20,11,84
925,15,1,85
926,10,2,85
927,1,3,85
928,7,4,85
929,22,5,85
930,6,6,85
931,2,7,85
932,10,8,85
933,4,9,85
934,27,10,85
935,3,11,85
936,15,12,86
937,10,13,86
938,19,14,86
939,3,15,86
940,11,16,86
941,15,17,86
942,1,18,86
943,4,19,86
944,7,20,86
945,19,21,86
946,28,22,86
947,12,12,87
948,25,13,87
949,8,14,87
950,0,15,87
951,12,16,87
952,19,17,87
953,1,18,87
954,13,19,87
955,14,20,87
956,11,21,87
957,12,22,87
958,20,12,88
959,18,13,88
960,29,14,88
961,13,15,88
962,24,16,88
963,9,17,88
964,20,18,88
965,9,19,88
966,8,20,88
967,42,21,88
968,29,22,88
969,7,34,89
970,13,35,89
971,5,36,89
972,12,37,89
973,21,38,89
974,10,39,89
975,1,40,89
976,1,41,89
977,1,42,89
978,47,43,89
979,6,44,89
980,2,34,90
981,3,35,90
982,11,36,90
983,13,37,90
984,1,38,90
985,10,39,90
986,5,40,90
987,2,41,90
988,11,42,90
989,26,43,90
990,2,44,90
991,13,56,91
992,19,57,91
993,10,58,91
994,17,59,91
995,7,60,91
996,11,61,91
997,17,62,91
998,5,63,91
999,13,64,91
1000,19,65,91
1001,24,66,91
1002,23,56,92
1003,9,57,92
1004,8,58,92
1005,5,59,92
1006,23,60,92
1007,16,61,92
1008,18,62,92
1009,6,63,92
1010,7,64,92
1011,42,65,92
1012,7,66,92
1013,5,34,93
1014,11,35,93
1015,11,36,93
1016,20,37,93
1017,4,38,93
1018,0,39,93
1019,1,40,93
1020,1,41,93
1021,10,42,93
1022,9,43,93
1023,0,44,93
1024,18,56,94
1025,8,57,94
1026,27,58,94
1027,19,59,94
1028,12,60,94
1029,11,61,94
1030,5,62,94
1031,8,63,94
1032,11,64,94
1033,42,65,94
1034,4,66,94
1035,20,34,95
1036,4,35,95
1037,17,36,95
1038,3,37,95
1039,6,38,95
1040,10,39,95
1041,20,40,95
1042,9,41,95
1043,4,42,95
1044,19,43,95
1045,14,44,95
1046,8,56,96
1047,17,57,96
1048,24,58,96
1049,11,59,96
1050,28,60,96
1051,9,61,96
1052,2,62,96
1053,0,63,96
1054,5,64,96
1055,14,65,96
1056,17,66,96
1057,20,45,97
1058,16,46,97
1059,16,47,97
1060,5,48,97
1061,23,49,97
1062,15,50,97
1063,18,51,97
1064,8,52,97
1065,5,53,97
1066,34,54,97
1067,4,55,97
1068,4,45,98
1069,9,46,98
1070,8,47,98
1071,16,48,98
1072,0,49,98
1073,20,50,98
1074,19,51,98
1075,8,52,98
1076,14,53,98
1077,21,54,98
1078,12,55,98
1079,6,45,99
1080,2,46,99
1081,22,47,99
1082,19,48,99
1083,14,49,99
1084,15,50,99
1085,19,51,99
1086,3,52,99
1087,5,53,99
1088,45,54,99
1089,8,55,99
1090,3,56,100
1091,17,57,100
1092,3,58,100
1093,0,59,100
1094,18,60,100
1095,15,61,100
1096,9,62,100
1097,3,63,100
1098,12,64,100
1099,25,65,100
1100,0,66,100
1101,22,56,101
1102,12,57,101
1103,5,58,101
1104,0,59,101
1105,24,60,101
1106,7,61,101
1107,14,62,101
1108,4,63,101
1109,15,64,101
1110,8,65,101
1111,21,66,101
1112,12,56,102
1113,8,57,102
1114,8,58,102
1115,15,59,102
1116,7,60,102
1117,15,61,102
1118,10,62,102
1119,13,63,102
1120,10,64,102
1121,47,65,102
1122,28,66,102
1123,8,45,103
1124,18,46,103
1125,13,47,103
1126,6,48,103
1127,30,49,103
1128,0,50,103
1129,17,51,103
1130,6,52,103
1131,9,53,103
1132,28,54,103
1133,0,55,103
1134,5,45,104
1135,21,46,104
1136,29,47,104
1137,0,48,104
1138,23,49,104
1139,20,50,104
1140,15,51,104
1141,7,52,104
1142,3,53,104
1143,31,54,104
1144,29,55,104
1145,10,34,105
1146,11,35,105
1147,2,36,105
1148,5,37,105
1149,17,38,105
1150,7,39,105
1151,20,40,105
1152,15,41,105
1153,8,42,105
1154,26,43,105
1155,22,44,105
1156,8,56,106
1157,10,57,106
1158,22,58,106
1159,5,59,106
1160,28,60,106
1161,5,61,106
1162,11,62,106
1163,5,63,106
1164,12,64,106
1165,30,65,106
1166,17,66,106
1167,23,34,107
1168,3,35,107
1169,18,36,107
1170,14,37,107
1171,5,38,107
1172,16,39,107
1173,5,40,107
1174,14,41,107
1175,12,42,107
1176,27,43,107
1177,21,44,107
1178,16,45,108
1179,25,46,108
1180,11,47,108
1181,1,48,108
1182,17,49,108
1183,12,50,108
1184,14,51,108
1185,3,52,108
1186,14,53,108
1187,15,54,108
1188,17,55,108
1189,8,56,109
1190,9,57,109
1191,22,58,109
1192,3,59,109
1193,6,60,109
1194,8,61,109
1195,15,62,109
1196,15,63,109
1197,6,64,109
1198,36,65,109
1199,0,66,109
1200,15,34,110
1201,18,35,110
1202,12,36,110
1203,17,37,110
1204,14,38,110
1205,13,39,110
1206,2,40,110
1207,8,41,110
1208,6,42,110
1209,9,43,110
1210,9,44,110
1211,1,34,111
1212,14,35,111
1213,8,36,111
1214,18,37,111
1215,28,38,111
1216,8,39,111
1217,7,40,111
1218,15,41,111
1219,3,42,111
1220,25,43,111
1221,19,44,111
1222,3,34,112
1223,14,35,112
1224,27,36,112
1225,20,37,112
1226,10,38,112
1227,0,39,112
1228,2,40,112
1229,15,41,112
1230,0,42,112
1231,33,43,112
1232,17,44,112
1233,4,34,113
1234,1,35,113
1235,26,36,113
1236,0,37,113
1237,28,38,113
1238,16,39,113
1239,7,40,113
1240,10,41,113
1241,4,42,113
1242,29,43,113
1243,3,44,113
1244,5,56,114
1245,6,57,114
1246,13,58,114
1247,20,59,114
1248,2,60,114
1249,12,61,114
1250,3,62,114
1251,6,63,114
1252,7,64,114
1253,20,65,114
1254,29,66,114
1255,0,56,115
1256,19,57,115
1257,0,58,115
1258,4,59,115
1259,19,60,115
1260,17,61,115
1261,11,62,115
1262,5,63,115
1263,13,64,115
1264,9,65,115
1265,22,66,115
1266,5,45,116
1267,16,46,116
1268,17,47,116
1269,4,48,116
1270,3,49,116
1271,20,50,116
1272,20,51,116
1273,7,52,116
1274,2,53,116
1275,28,54,116
1276,28,55,116
1277,4,56,117
1278,19,57,117
1279,19,58,117
1280,0,59,117
1281,6,60,117
1282,13,61,117
1283,20,62,117
1284,4,63,117
1285,4,64,117
1286,22,65,117
1287,8,66,117
1288,23,34,118
1289,20,35,118
1290,23,36,118
1291,13,37,118
1292,3,38,118
1293,16,39,118
1294,6,40,118
1295,12,41,118
1296,15,42,118
1297,36,43,118
1298,8,44,118
1299,15,34,119
1300,4,35,119
1301,3,36,119
1302,13,37,119
1303,0,38,119
1304,11,39,119
1305,20,40,119
1306,8,41,119
1307,6,42,119
1308,7,43,119
1309,20,44,119
1310,8,56,120
1311,6,57,120
1312,8,58,120
1313,14,59,120
1314,11,60,120
1315,13,61,120
1316,2,62,120
1317,11,63,120
1318,2,64,120
1319,8,65,120
1320,11,66,120
1321,1,45,121
1322,2,46,121
1323,30,47,121
1324,7,48,121
1325,8,49,121
1326,3,50,121
1327,9,51,121
1328,1,52,121
1329,7,53,121
1330,27,54,121
1331,22,55,121
1332,18,56,122
1333,8,57,122
1334,23,58,122
1335,14,59,122
1336,30,60,122
1337,8,61,122
1338,17,62,122
1339,7,63,122
1340,14,64,122
1341,44,65,122
1342,8,66,122
1343,9,34,123
1344,4,35,123
1345,19,36,123
1346,16,37,123
1347,14,38,123
1348,16,39,123
1349,12,40,123
1350,11,41,123
1351,14,42,123
1352,47,43,123
1353,7,44,123
1354,1,34,124
1355,2,35,124
1356,11,36,124
1357,8,37,124
1358,0,38,124
1359,3,39,124
1360,14,40,124
1361,0,41,124
1362,2,42,124
1363,21,43,124
1364,7,44,124
1365,24,45,125
1366,23,46,125
1367,13,47,125
1368,13,48,125
1369,17,49,125
1370,16,50,125
1371,18,51,125
1372,4,52,125
1373,14,53,125
1374,33,54,125
1375,8,55,125
1376,22,45,126
1377,6,46,126
1378,10,47,126
1379,3,48,126
1380,2,49,126
1381,11,50,126
1382,20,51,126
1383,7,52,126
1384,11,53,126
1385,2,54,126
1386,15,55,126
1387,3,45,127
1388,17,46,127
1389,27,47,127
1390,4,48,127
1391,26,49,127
1392,5,50,127
1393,17,51,127
1394,6,52,127
1395,1,53,127
1396,31,54,127
1397,13,55,127
1398,8,34,128
1399,7,35,128
1400,25,36,128
1401,13,37,128
1402,11,38,128
1403,15,39,128
1404,9,40,128
1405,12,41,128
1406,15,42,128
1407,42,43,128
1408,11,44,128
1409,25,45,129
1410,12,46,129
1411,11,47,129
1412,3,48,129
1413,30,49,129
1414,18,50,129
1415,11,51,129
1416,6,52,129
1417,11,53,129
1418,31,54,129
1419,19,55,129
1420,2,45,130
1421,4,46,130
1422,0,47,130
1423,15,48,130
1424,5,49,130
1425,2,50,130
1426,10,51,130
1427,9,52,130
1428,13,53,130
1429,25,54,130
1430,25,55,130
1431,11,45,131
1432,13,46,131
1433,10,47,131
1434,17,48,131
1435,15,49,131
1436,1,50,131
1437,0,51,131
1438,12,52,131
1439,0,53,131
1440,43,54,131
1441,5,55,131
1442,9,45,132
1443,7,46,132
1444,17,47,132
1445,6,48,132
1446,13,49,132
1447,10,50,132
1448,11,51,132
1449,12,52,132
1450,13,53,132
1451,21,54,132
1452,15,55,132
1453,2,45,133
1454,21,46,133
1455,5,47,133
1456,15,48,133
1457,3,49,133
1458,10,50,133
1459,20,51,133
1460,9,52,133
1461,4,53,133
1462,42,54,133
1463,24,55,133
1464,17,34,134
1465,21,35,134
1466,29,36,134
1467,14,37,134
1468,24,38,134
1469,11,39,134
1470,17,40,134
1471,10,41,134
1472,8,42,134
1473,39,43,134
1474,29,44,134
1475,17,45,135
1476,13,46,135
1477,28,47,135
1478,11,48,135
1479,4,49,135
1480,9,50,135
1481,20,51,135
1482,6,52,135
1483,4,53,135
1484,37,54,135
1485,1,55,135
1486,14,34,136
1487,0,35,136
1488,13,36,136
1489,14,37,136
1490,20,38,136
1491,19,39,136
1492,12,40,136
1493,11,41,136
1494,6,42,136
1495,45,43,136
1496,3,44,136
1497,25,56,137
1498,9,57,137
1499,27,58,137
1500,2,59,137
1501,20,60,137
1502,0,61,137
1503,7,62,137
1504,5,63,137
1505,1,64,137
1506,29,65,137
1507,9,66,137
1508,22,45,138
1509,18,46,138
1510,20,47,138
1511,17,48,138
1512,0,49,138
1513,3,50,138
1514,7,51,138
1515,7,52,138
1516,13,53,138
1517,7,54,138
1518,5,55,138
1519,11,56,139
1520,17,57,139
1521,21,58,139
1522,9,59,139
1523,7,60,139
1524,2,61,139
1525,1,62,139
1526,9,63,139
1527,1,64,139
1528,25,65,139
1529,30,66,139
1530,17,56,140
1531,2,57,140
1532,0,58,140
1533,0,59,140
1534,23,60,140
1535,15,61,140
1536,17,62,140
1537,4,63,140
1538,14,64,140
1539,25,65,140
1540,0,66,140
1541,20,56,141
1542,15,57,141
1543,7,58,141
1544,10,59,141
1545,24,60,141
1546,7,61,141
1547,4,62,141
1548,12,63,141
1549,1,64,141
1550,21,65,141
1551,7,66,141
1552,16,34,142
1553,14,35,142
1554,10,36,142
1555,7,37,142
1556,11,38,142
1557,1,39,142
1558,13,40,142
1559,12,41,142
1560,3,42,142
1561,14,43,142
1562,22,44,142
1563,6,34,143
1564,0,35,143
1565,22,36,143
1566,10,37,143
1567,24,38,143
1568,6,39,143
1569,8,40,143
1570,14,41,143
1571,14,42,143
1572,27,43,143
1573,4,44,143
1574,2,45,144
1575,0,46,144
1576,6,47,144
1577,9,48,144
1578,22,49,144
1579,7,50,144
1580,6,51,144
1581,6,52,144
1582,2,53,144
1583,28,54,144
1584,17,55,144
1585,8,56,145
1586,17,57,145
1587,14,58,145
1588,13,59,145
1589,25,60,145
1590,2,61,145
1591,6,62,145
1592,1,63,145
1593,15,64,145
1594,41,65,145
1595,19,66,145
1596,15,34,146
1597,9,35,146
1598,17,36,146
1599,15,37,146
1600,14,38,146
1601,8,39,146
1602,10,40,146
1603,11,41,146
1604,6,42,146
1605,28,43,146
1606,18,44,146
1607,22,56,147
1608,2,57,147
1609,21,58,147
1610,18,59,147
1611,13,60,147
1612,7,61,147
1613,2,62,147
1614,3,63,147
1615,1,64,147
1616,14,65,147
1617,16,66,147
1618,7,34,148
1619,9,35,148
1620,6,36,148
1621,14,37,148
1622,18,38,148
1623,20,39,148
1624,2,40,148
1625,15,41,148
1626,2,42,148
1627,9,43,148
1628,2,44,148
1629,20,45,149
1630,11,46,149
1631,30,47,149
1632,5,48,149
1633,30,49,149
1634,11,50,149
1635,1,51,149
1636,8,52,149
1637,5,53,149
1638,21,54,149
1639,8,55,149
1640,3,56,150
1641,18,57,150
1642,15,58,150
1643,10,59,150
1644,29,60,150
1645,4,61,150
1646,0,62,150
1647,13,63,150
1648,14,64,150
1649,36,65,150
1650,8,66,150
1651,1,45,151
1652,3,46,151
1653,20,47,151
1654,1,48,151
1655,27,49,151
1656,9,50,151
1657,16,51,151
1658,11,52,151
1659,8,53,151
1660,26,54,151
1661,3,55,151
